operator_id,total_calls,missed_in_calls,total_in_calls,total_out_calls,avg_wait_duration,missed_in_rate
939738.0,692,31,0,66,121.10606060606061,inf
939762.0,2980,52,47,95,350.27464788732397,1.1063829787234043
940588.0,2459,23,59,18,111.28571428571429,0.3898305084745763
940596.0,490,6,1,16,545.7647058823529,6.0
940614.0,719,13,11,20,332.741935483871,1.1818181818181819
940616.0,3336,31,33,51,635.3571428571429,0.9393939393939394
940622.0,1544,27,32,32,313.390625,0.84375
940624.0,1814,28,38,49,324.48275862068965,0.7368421052631579
940630.0,2280,16,51,13,178.484375,0.3137254901960784
940634.0,2234,28,36,40,501.0921052631579,0.7777777777777778
940652.0,1382,19,28,29,395.3859649122807,0.6785714285714286
940658.0,2789,33,43,51,363.9574468085106,0.7674418604651163
940952.0,274,12,15,19,101.47058823529412,0.8
941192.0,1239,28,0,58,376.58620689655174,inf
941384.0,758,32,26,69,167.83157894736843,1.2307692307692308
941390.0,377,4,1,7,732.125,4.0
941628.0,148,5,1,10,191.1818181818182,5.0
943050.0,85,1,0,3,252.33333333333334,inf
944210.0,184,7,23,16,144.02564102564102,0.30434782608695654
944216.0,435,33,64,39,122.51456310679612,0.515625
944218.0,451,32,53,49,119.73529411764706,0.6037735849056604
944220.0,561,38,62,60,130.74590163934425,0.6129032258064516
944222.0,564,35,46,55,120.22772277227723,0.7608695652173914
944226.0,336,31,54,45,109.8989898989899,0.5740740740740741
944646.0,648,30,28,53,105.04938271604938,1.0714285714285714
944764.0,645,14,21,27,163.54166666666666,0.6666666666666666
944766.0,295,8,12,16,144.28571428571428,0.6666666666666666
945278.0,4314,25,0,48,2858.4791666666665,inf
945280.0,2538,23,0,46,1018.0217391304348,inf
945282.0,2582,30,0,60,802.4333333333333,inf
945284.0,2210,23,0,44,915.4772727272727,inf
945286.0,7919,37,0,71,2185.774647887324,inf
945288.0,2260,20,0,38,1110.2631578947369,inf
945290.0,3943,37,0,74,1303.1756756756756,inf
945294.0,3434,21,0,41,1610.341463414634,inf
945296.0,2821,41,0,81,649.2716049382716,inf
945298.0,1600,24,0,50,611.04,inf
945302.0,7059,40,0,82,1889.9146341463415,inf
945304.0,2918,22,0,44,1285.0,inf
945308.0,1761,18,0,36,922.3333333333334,inf
945310.0,3580,23,0,49,1606.7755102040817,inf
945312.0,2519,25,0,56,899.3571428571429,inf
945314.0,1861,32,0,61,653.8852459016393,inf
945316.0,2751,34,0,65,830.123076923077,inf
945318.0,1998,18,0,35,1060.8285714285714,inf
945320.0,2605,22,0,44,1092.5454545454545,inf
945322.0,5015,33,0,67,1581.2686567164178,inf
945324.0,2254,25,0,50,1131.7,inf
945728.0,117,8,0,11,220.8181818181818,inf
945894.0,1506,9,0,18,1499.1666666666667,inf
945900.0,4817,25,0,50,1810.42,inf
945902.0,3310,21,0,44,1255.2272727272727,inf
945904.0,4080,19,0,38,2128.657894736842,inf
947304.0,827,36,23,56,122.13924050632912,1.565217391304348
947592.0,910,16,0,33,416.0,inf
947598.0,492,21,0,47,174.04255319148936,inf
947600.0,321,14,0,37,149.27027027027026,inf
947604.0,976,25,1,49,377.1,25.0
947614.0,995,18,0,40,328.575,inf
947616.0,2151,23,0,51,699.6862745098039,inf
947618.0,1134,18,0,40,469.7,inf
947620.0,1277,24,0,51,427.15686274509807,inf
947636.0,109,5,0,11,181.1818181818182,inf
947638.0,1344,22,1,48,414.16326530612247,22.0
947640.0,538,16,0,33,260.2121212121212,inf
947642.0,969,19,1,45,407.8695652173913,19.0
947644.0,470,22,0,47,165.80851063829786,inf
947646.0,1984,16,0,37,1131.6756756756756,inf
947648.0,3071,20,0,43,1305.1162790697674,inf
947650.0,1791,23,0,50,688.68,inf
947652.0,575,16,0,36,349.5833333333333,inf
947654.0,2619,22,0,47,1243.8510638297873,inf
947658.0,2855,24,0,51,1020.2352941176471,inf
948182.0,627,24,31,53,136.98809523809524,0.7741935483870968
948758.0,676,23,9,44,154.35849056603774,2.5555555555555554
950972.0,897,9,4,19,856.0,2.25
951508.0,492,29,35,45,101.3375,0.8285714285714286
951648.0,161,2,0,4,728.75,inf
952114.0,692,10,1,19,547.7,10.0
952116.0,354,4,0,9,635.3333333333334,inf
952392.0,1557,22,0,45,694.8888888888889,inf
952458.0,1738,26,0,40,874.2,inf
952460.0,199,16,0,27,135.62962962962962,inf
952466.0,134,3,0,4,546.75,inf
952468.0,1184,27,0,41,512.7317073170732,inf
952914.0,705,20,18,37,179.12727272727273,1.1111111111111112
952948.0,5423,54,37,72,224.70642201834863,1.4594594594594594
953458.0,61,5,0,7,170.71428571428572,inf
953462.0,761,23,0,34,394.1470588235294,inf
953464.0,463,20,21,30,128.64705882352942,0.9523809523809523
954642.0,417,8,0,17,503.4117647058824,inf
954650.0,1476,30,21,52,336.32876712328766,1.4285714285714286
954750.0,296,9,18,23,142.5121951219512,0.5
958452.0,517,21,15,44,141.64406779661016,1.4
958456.0,886,11,6,32,460.5263157894737,1.8333333333333333
958460.0,227,19,17,38,123.0909090909091,1.1176470588235294
958468.0,537,18,6,39,182.24444444444444,3.0
958478.0,329,12,5,25,201.83333333333334,2.4
958480.0,176,3,0,9,260.22222222222223,inf
960294.0,297,7,1,14,271.46666666666664,7.0
960296.0,203,4,2,10,205.5,2.0
960672.0,278,12,0,24,163.29166666666666,inf
961064.0,928,8,7,16,814.8260869565217,1.1428571428571428
962658.0,747,25,16,47,137.76190476190476,1.5625
962902.0,702,17,13,39,192.30769230769232,1.3076923076923077
964666.0,920,9,10,14,890.0,0.9
964716.0,326,11,0,20,114.45,inf
965538.0,548,7,0,15,709.7333333333333,inf
965540.0,919,10,0,21,1053.904761904762,inf
965542.0,776,7,0,14,1280.357142857143,inf
965544.0,1277,7,0,13,1928.3846153846155,inf
968150.0,104,6,2,13,102.6,3.0
968338.0,275,7,7,15,226.72727272727272,1.0
969272.0,466,14,10,24,185.55882352941177,1.4
972410.0,77,2,0,4,374.5,inf
972412.0,61,2,1,4,210.0,2.0
